lat,long,prev
-15.52287,39.63906,3.278688525
-13.08898,39.64478,12.28070175
-14.35774,39.64939,1.470588235
-16.08372,39.67892,0
-13.98126,39.67986,3.773584906
-16.34177,39.7352,2.53164557
-13.26561,39.76971,1.052631579
-13.36343,39.78039,9.523809524
-13.42345,39.79389,7.246376812
-12.97835,39.82917,1.515151515
-11.812,39.86456,23.07692308
-14.95616,39.87958,1.449275362
-11.58221,39.88591,5.084745763
-16.22093,39.89435,15.25423729
-13.31748,40.1198,6.349206349
-14.65515,40.16182,0
-14.9347,40.31701,7.407407407
-11.35352,40.34192,10.44776119
-13.11612,40.43074,6.451612903
-15.43076,40.45807,1.333333333
-14.48849,40.46986,0
-14.84724,40.47116,1.470588235
-10.73105,40.493419,2.702702703
-12.967592,40.498149,13.84615385
-13.02347,40.526292,16.41791045
-13.013104,40.52976,5.882352941
-14.43056,40.53885,3.658536585
-13.37494,40.55689,6.666666667
-12.41925,40.61385,6.896551724
-14.54411,40.62189,6.329113924
-14.53919,40.69896,2.857142857
