"","tmax_mov","tmin_mov","rh_mov","rain_mov"
"97",30.1470945465961,23.0400977753503,91.896520274026,35.7835
"98",29.9720286140156,23.1666639606826,92.2029153278896,35.6709375
"99",29.7992104415571,23.2687410876599,92.4380258832659,46.7530625
"100",29.9904660105037,23.5628576178827,92.5701229912894,51.6643125
"101",29.8923311089712,23.7289843813626,92.8909324918475,51.7698125
"102",30.0171221401559,23.9999259283786,93.2272291183472,62.031
"103",29.9869502831333,24.1682370536181,93.4544233594622,62.6039375
"104",29.8902850709114,24.2060685855179,93.6681042398725,61.611125
"105",29.7587795767981,24.2823598694544,93.974595274244,64.708875
"106",29.6398557758807,24.3831459752333,94.2255413872855,68.748125
"107",29.6288302243078,24.3768234294542,94.3049255098615,69.943125
"108",29.5270412717052,24.3837569049075,94.6589501925877,69.943125
"109",29.4905583958786,24.3513084703255,94.9349494661604,68.832375
"110",29.4123824515321,24.292048291929,95.1044019971575,61.397875
"111",29.3327368178752,24.1733319765613,95.0523505210876,61.397875
"112",29.2329016875324,23.9651720987996,94.8852704593113,63.5235
"113",29.3603669769136,23.8774172382409,94.6197169167655,58.3985625
"114",29.2583071403988,23.6151497399009,94.3338334219796,59.7695
"115",29.15359033615,23.4057276583784,94.280145236424,48.1564375
"116",29.158915798593,23.1220026961043,93.9200778688703,43.914125
"117",28.9318632088313,22.8264856384209,93.7221948759896,44.680625
"118",28.8260052340591,22.4397902086083,93.5963050297328,30.917375
"119",28.8045304796625,22.1283716889334,93.3048231261117,29.929875
"120",28.5742561003927,21.7004557965754,93.0742113249642,30.52675
"121",28.3605978555632,21.3251374910727,92.8073694365365,27.57575
"122",28.0441247573576,20.8852047272931,92.6780290603638,22.1593125
"123",27.8328122519376,20.470187519943,92.6274014200483,21.370875
"124",27.5588621644505,20.1457723359728,92.3361516680036,21.429125
"125",27.4149075373538,19.8029773903895,92.1491661071777,22.2570625
"126",27.1857051667575,19.5170046679934,92.0803961753845,21.1214375
"127",27.1322084758533,19.2942112954886,91.9255690574646,21.1214375
"128",27.0803370884221,19.1934943515596,91.8902662140982,8.4610625
"129",26.8363801898453,19.0193332865153,91.9393810544695,8.565
"130",26.9148385450789,19.0342146112206,91.9266436440604,7.1940625
"131",26.8669151465799,18.8784217808145,91.5573194367545,7.129625
"132",26.6572394716077,18.8168619709086,91.6683949742998,5.9719375
"133",26.903415312869,18.8511028501007,91.6491269384112,5.6595625
"134",27.095869687214,18.992417799926,91.5517454828535,5.578625
"135",27.1089009324342,19.022946993173,91.5479210444859,5.135875
"136",27.2519506919947,19.3106948697167,91.5224763325282,4.539
"137",27.566827304165,19.4838646149123,91.4024391855512,5.8188125
"138",27.870557331525,19.6749415157466,91.1849972179958,4.8228125
"139",27.9828934662387,19.8593731155023,90.9346096175058,4.41625
"140",28.233190201057,20.0549340096056,90.9442798750741,4.358
"141",28.419662075385,20.3281348437187,90.9324598993574,3.730125
"142",28.7948766381128,20.6933324651848,90.9339669772557,5.62825
"143",28.9405776019198,20.8303997247282,90.9590062413897,5.62825
"144",29.1671345317571,21.0725929961323,90.8526813643319,5.458875
"145",29.432105105731,21.2464774137769,90.4933184896197,10.94075
"146",29.4083249563375,21.5140069761974,90.6928218432835,16.3044375
"147",29.5001661295283,21.95168045288,91.2731953348433,22.4329375
"148",29.7368956147897,22.3446696110343,91.4430890083313,23.7144375
"149",29.751004632171,22.6147812158514,91.435183593205,25.52875
"150",29.6069577892743,22.8465195209443,91.6805042539324,25.2665
"151",29.5922320787313,23.0442013784449,91.8455575534276,27.442625
"152",29.7557191649397,23.2201664150742,92.0690906388419,30.408625
"153",29.8111927320537,23.4967561798328,92.3351909092494,30.351375
"154",29.8492432764783,23.7130195210087,92.5935482978821,36.482125
"155",29.738935889362,23.8046243912123,92.9881908552987,39.5511875
"156",29.6975713396293,23.9472649431608,93.3096901348659,40.664875
"157",29.5698812742359,23.9419625346679,93.5008433205741,40.4648125
"158",29.3771214350538,23.8735038302336,93.6325261252267,38.5666875
"159",29.6029694559296,24.0672607527519,93.6562002726964,39.517875
"160",29.6722235216378,24.1644965502355,93.7905116762434,46.20425
"161",29.5415364427485,24.1776027207932,94.1813665117536,40.467375
"162",29.3965847323155,24.0300862584261,94.2495975494384,39.5339375
"163",29.3817783329477,23.8885753500261,94.106402192797,33.04625
